SKUID,23-02-2019,24-02-2019,25-02-2019,26-02-2019,27-02-2019,28-02-2019,01-03-2019,02-03-2019,03-03-2019,04-03-2019,05-03-2019,06-03-2019,07-03-2019,08-03-2019
1184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1193,3.84,1.59,1.53,1.01,0.7,0.24,0.11,0.06,0.05,0.04,0.03,0.03,0.03,0.03
1194,0.27,0.17,0.1,0.08,0.1,0.08,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1196,1.35,0.69,0.44,0.3,0.26,0.11,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1199,0.33,0.27,0.2,0.06,0.09,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1204,1.53,0.84,0.53,0.29,0.25,0.09,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1206,1.8,0.96,0.72,1.03,0.34,0.17,0.09,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1208,4.18,1.88,1.48,0.95,0.7,0.27,0.12,0.07,0.05,0.04,0.03,0.03,0.03,0.03
1210,0.26,0.26,0.13,0.08,0.07,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1212,0.0,0.0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1214,4.23,1.94,1.25,0.83,0.69,0.25,0.11,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1217,0.2,0.15,0.13,0.1,0.12,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1218,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
1219,0.95,0.66,0.44,0.33,0.16,0.09,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1221,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1228,11.4,3.61,1.47,1.17,0.47,0.32,0.14,0.07,0.05,0.04,0.03,0.03,0.03,0.03
1230,2.03,0.77,0.42,0.28,0.22,0.09,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1231,1.27,1.02,0.56,0.32,0.2,0.09,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1232,1.96,0.97,1.18,1.09,0.32,0.21,0.09,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1235,0.26,0.11,0.09,0.07,0.08,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1237,0.91,0.28,0.36,0.22,0.09,0.08,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1238,0.91,0.61,0.5,0.34,0.22,0.09,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03
1239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1241,0.34,0.25,0.16,0.13,0.09,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1242,0.24,0.11,0.12,0.1,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1244,3.03,1.18,1.14,0.87,0.37,0.21,0.09,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1245,2.89,1.04,1.14,1.22,0.54,0.24,0.09,0.06,0.05,0.04,0.03,0.03,0.03,0.03
1246,3.06,1.5,1.44,0.6,0.36,0.22,0.08,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1248,0.94,0.88,0.36,0.3,0.13,0.08,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1250,4.84,2.07,4.67,2.93,1.35,0.38,0.24,0.1,0.05,0.04,0.03,0.03,0.03,0.03
1251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1252,0.53,0.38,0.2,0.16,0.1,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1253,0.34,0.28,0.18,0.12,0.1,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1257,23.61,8.62,3.67,1.44,0.7,0.4,0.22,0.09,0.05,0.04,0.03,0.03,0.03,0.03
1258,3.5,1.06,1.26,1.5,0.71,0.28,0.18,0.07,0.05,0.04,0.03,0.03,0.03,0.03
1259,18.28,6.06,2.69,1.34,0.69,0.34,0.2,0.07,0.05,0.04,0.03,0.03,0.03,0.03
1260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1261,3.51,1.25,1.28,1.33,0.78,0.31,0.15,0.07,0.05,0.04,0.03,0.03,0.03,0.03
1262,0.04,0.05,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
1263,0.36,0.21,0.16,0.15,0.1,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1264,9.55,3.51,2.24,2.07,0.62,0.37,0.23,0.08,0.05,0.04,0.03,0.03,0.03,0.03
1266,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1269,0.43,0.25,0.13,0.12,0.08,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1270,4.39,2.13,1.82,0.9,0.61,0.31,0.14,0.07,0.04,0.04,0.03,0.03,0.03,0.03
1271,0.14,0.12,0.08,0.12,0.09,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1272,0.11,0.06,0.1,0.06,0.09,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1273,0.39,0.25,0.18,0.1,0.08,0.06,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1274,0.62,0.34,0.24,0.14,0.09,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281,0.04,0.08,0.11,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1302,0.04,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03
1304,21.16,3.87,2.92,1.37,0.69,0.42,0.2,0.08,0.04,0.04,0.03,0.03,0.03,0.03
1306,2.04,0.87,0.62,0.38,0.25,0.1,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03
1308,12.64,5.56,2.41,1.45,0.52,0.37,0.21,0.07,0.05,0.04,0.03,0.03,0.03,0.03
1309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1310,0.13,0.07,0.07,0.12,0.09,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1311,369.35,227.0,86.86,33.11,7.82,2.75,1.6,0.61,0.33,0.17,0.07,0.04,0.03,0.03
1312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1313,2.7,1.62,1.01,0.46,0.25,0.17,0.09,0.04,0.04,0.03,0.03,0.03,0.03,0.03
1314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317,3.64,1.13,0.78,0.51,0.48,0.13,0.1,0.04,0.04,0.03,0.03,0.03,0.03,0.03
1319,15.68,5.23,2.44,2.03,0.73,0.47,0.23,0.09,0.06,0.04,0.03,0.03,0.03,0.03
1321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1322,11.59,2.88,2.12,1.54,0.73,0.4,0.22,0.08,0.04,0.04,0.03,0.03,0.03,0.03
1323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1326,5.24,1.87,2.2,1.74,0.69,0.4,0.21,0.08,0.05,0.04,0.03,0.03,0.03,0.03
1328,0.41,0.24,0.15,0.16,0.09,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03
1329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1334,0.05,0.04,0.03,0.04,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1340,1.11,0.47,0.4,0.3,0.2,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1343,10.14,2.63,1.61,1.1,0.46,0.23,0.11,0.06,0.05,0.04,0.03,0.03,0.03,0.03
1345,0.25,0.16,0.24,0.12,0.08,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1347,24.52,9.08,3.1,1.96,0.82,0.47,0.24,0.1,0.05,0.04,0.03,0.03,0.03,0.03
1349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1353,295.19,76.77,22.4,10.2,3.52,1.28,0.66,0.35,0.19,0.07,0.04,0.03,0.03,0.03
1355,3.59,1.59,1.49,1.18,0.78,0.44,0.19,0.07,0.05,0.04,0.03,0.03,0.03,0.03
1356,0.07,0.06,0.18,0.04,0.05,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1357,2.21,1.29,1.98,1.33,0.6,0.32,0.2,0.06,0.05,0.04,0.03,0.03,0.03,0.03
1358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1360,2.77,1.38,1.16,0.87,0.41,0.41,0.14,0.06,0.05,0.04,0.03,0.03,0.03,0.03
1361,0.03,0.13,0.15,0.08,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1364,24.02,13.8,5.19,2.03,0.99,0.42,0.26,0.12,0.07,0.04,0.03,0.03,0.03,0.03
1365,4.18,2.0,1.44,0.74,0.51,0.32,0.13,0.06,0.05,0.04,0.03,0.03,0.03,0.03
1366,0.33,0.25,0.17,0.12,0.08,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1367,0.3,0.21,0.17,0.14,0.06,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1368,4.87,1.7,1.31,1.19,0.57,0.33,0.17,0.07,0.05,0.04,0.03,0.03,0.03,0.03
1370,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1371,4.64,1.65,1.23,0.8,0.56,0.32,0.14,0.06,0.05,0.04,0.03,0.03,0.03,0.03
1372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1373,1.05,0.52,0.25,0.19,0.1,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1374,4.36,1.87,1.59,0.95,0.57,0.38,0.17,0.07,0.05,0.04,0.03,0.03,0.03,0.03
1375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
